feature	accession	entry	protein_log2fc	protein_se	protein_ci_low	protein_ci_high	protein_t	protein_p	protein_q	protein_residual_sd	nsaf_log2fc	nsaf_se	nsaf_ci_low	nsaf_ci_high	nsaf_t	nsaf_p	nsaf_q	nsaf_residual_sd	psm_log2_log2fc	psm_log2_se	psm_log2_ci_low	psm_log2_ci_high	psm_log2_t	psm_log2_p	psm_log2_q	psm_log2_residual_sd
psvid_74784_sp|P02792|FRIL_HUMAN	P02792	FRIL_HUMAN	0.010993829819534895	0.08033491787237092	-0.1840944716231006	0.2060821312621704	0.13684995405112543	0.8954895766316853	0.9906913568675062	0.08853378083383537	-0.051580635519512086	0.08824030943329217	-0.28789557649447106	0.18473430545544686	-0.5845473100760823	0.5874779828955587	0.8948438526472344	0.09945627304045149	0.03211237864142236	0.14868088180425476	-0.3522341727295878	0.4164589300124325	0.21598189526276676	0.8376894325249117	0.9528490542129893	0.21899735837537856
psvid_56562_sp|P11021|BIP_HUMAN	P11021	BIP_HUMAN	0.01142156918017001	0.08356644556729413	-0.1915142942661882	0.21435743262652823	0.136676498595031	0.8956210880533116	0.9906913568675062	0.10012693798655098	0.10823984079844085	0.07325205608571721	-0.08793530207406985	0.30441498367095154	1.4776355311007523	0.20714104956990503	0.7258795267620202	0.05271979674144036	0.05025047127267035	0.08842193393045612	-0.17832407684218746	0.27882501938752813	0.5683032369795527	0.5948383352978636	0.8401517092289622	0.034714452862606056
psvid_23288_sp|Q09666|AHNK_HUMAN	Q09666	AHNK_HUMAN	-0.0171302117874097	0.1257555581101501	-0.32251968473933834	0.28825926116451894	-0.13621832740311357	0.8959684841849569	0.9906913568675062	0.21562252916336716	0.07247212782343393	0.1476899059552396	-0.3230538130142323	0.46799806866110016	0.4907046785268999	0.6470745230737022	0.9190364020538448	0.2260626420899186	-0.009454010872946061	0.1599306502809954	-0.4228817034457555	0.40397368169986336	-0.05911318972526859	0.955192850555604	1.0	0.24355906284850368
psvid_47551_sp|P11498|PYC_HUMAN	P11498	PYC_HUMAN	-0.009976060026813727	0.07382104970590654	-0.18924584182602724	0.1692937217723998	-0.1351384200923321	0.8967873943911405	0.9906913568675062	0.06075879436578551	0.10354779214670584	0.07285186995511594	-0.0915556187425492	0.2986512030359609	1.421347073321545	0.22194143710134595	0.7302695962541623	0.051064439111523814	0.02191282942308237	0.08863885125449658	-0.20722245941658055	0.2510481182627453	0.24721472709711756	0.8147482766907854	0.9463081967230086	0.03647983589800209
psvid_72301_sp|O95816|BAG2_HUMAN	O95816	BAG2_HUMAN	-0.011195420905656839	0.08415994949994436	-0.21557257136875427	0.1931817295574406	-0.1330255183395071	0.8983900393851111	0.9906913568675062	0.10215907005358316	0.1495012174227881	0.14181207183741462	-0.23028339123307662	0.5292858260786528	1.0542206702556955	0.3461083508590453	0.7995936304778763	0.21471921034062807	0.06839126833149112	0.12092630180730762	-0.24420848562260872	0.38099102228559095	0.565561563608143	0.5965626101325658	0.8401517092289622	0.15320885968929246
psvid_29541_sp|Q9UL12|SARDH_HUMAN	Q9UL12	SARDH_HUMAN	-0.01315407683862535	0.09978898027496023	-0.25548534672880147	0.22917719305155076	-0.13181893233481679	0.8993054745919188	0.9906913568675062	0.14936005465555832	-0.29101210402605737	0.290461297377968	-1.068891791735847	0.4868675836837322	-1.0018963168348471	0.36817999141976043	0.8008158964567733	0.4846775835781969	-0.37258140664577044	0.258627153011161	-1.0411438549207963	0.2959810416292553	-1.4406121024333889	0.2102968717078653	0.6186927031367531	0.441027015839725
psvid_67812_sp|Q04760|LGUL_HUMAN	Q04760	LGUL_HUMAN	0.011069607431325679	0.08400904020877967	-0.19294106929824525	0.2150802841608966	0.13176685989764242	0.8993449856882078	0.9906913568675062	0.10164485817723272	-0.10771468494713421	0.1072793374734116	-0.39501773800393847	0.17958836810967005	-1.0040580738469838	0.3672447703188	0.8001457495982909	0.14432416210837948	-0.18424139854155142	0.12077385148651726	-0.4964470617804218	0.12796426469731897	-1.5255073534035588	0.18872070583030917	0.5907754673653401	0.1528148402148035
psvid_882652_sp|Q66PJ3|AR6P4_HUMAN	Q66PJ3	AR6P4_HUMAN	-0.012626391570647044	0.0965978166455041	-0.24720812105443124	0.22195533791313715	-0.13071094160423458	0.9001462542714155	0.9906913568675062	0.1404296493793361	-0.5000762684628111	0.19753711594075396	-1.0290972135807872	0.02894467665516509	-2.531555986738187	0.05890781071310578	0.6917486752637665	0.31885534058678994	-0.5804820237218404	0.2143449454964776	-1.1345730380180763	-0.02639100942560446	-2.7081675398376945	0.0431891727510366	0.4988045303640846	0.3549178728525311
psvid_49595_sp|P09601|HMOX1_HUMAN	P09601	HMOX1_HUMAN	-0.010859276797092754	0.08309977160738106	-0.21266185184809108	0.19094329825390557	-0.13067757693004556	0.90017157467315	0.9906913568675062	0.09850999801075787	-0.0008791961654881497	0.15234085917607107	-0.40886077936112886	0.40710238703015256	-0.00577124331740837	0.9956471623620515	1.0	0.23495645828168937	-0.08080936862688382	0.13637636238333045	-0.4333482016932898	0.2717294644395222	-0.5925467376798231	0.5797240325014628	0.8354268899587258	0.1910023452009853
psvid_59069_sp|P31153|METK2_HUMAN	P31153	METK2_HUMAN	0.010859584138945166	0.08320418179267416	-0.19119654448802748	0.2129157127659178	0.13051728777292435	0.9002932196588247	0.9906913568675062	0.09887326662018665	-0.061061510054435164	0.1535027309587502	-0.47215468321964477	0.35003166311077444	-0.3977877766281815	0.709310344893567	0.9511602335449304	0.2371680266572706	-0.14324746476376982	0.14987636755574088	-0.5306843988404852	0.24418946931294555	-0.9557708603425707	0.38385390012831044	0.7252539126848262	0.22164799570691632
psvid_69463_sp|Q92604|LGAT1_HUMAN	Q92604	LGAT1_HUMAN	-0.009703597323848179	0.0747172216831166	-0.19114967647251763	0.17174248182482127	-0.1298709602051603	0.9007837537469494	0.9906913568675062	0.06512547102287426	0.010854929931725987	0.17007158185106075	-0.444611013974947	0.466320873838399	0.06382565396041376	0.9519005878141061	1.0	0.26833144087747185	-0.07187186238958299	0.14340962103522878	-0.44259197522076965	0.2988482504416037	-0.5011648581926561	0.6379148912121116	0.8573879043294115	0.20717471944279858
psvid_87167_sp|O15488|GLYG2_HUMAN	O15488	GLYG2_HUMAN	0.018716471661544	0.14554221014377577	-0.334723642763737	0.372156586086825	0.12859823719218422	0.9017498335336637	0.9906913568675062	0.2620311020044041	0.06341885094848054	0.2560261962492405	-0.6222407511455192	0.7490784530424803	0.24770453913529433	0.8154811609248267	0.9751168687974395	0.4238136289690087	-0.017042875660394863	0.2718425603494616	-0.7197677271563411	0.6856819758355513	-0.06269391973974107	0.9524828501625825	0.9987671830349332	0.4663106607768874
psvid_59234_sp|Q9Y6N5|SQOR_HUMAN	Q9Y6N5	SQOR_HUMAN	-0.010044019889461353	0.07821743897221092	-0.19999015684231516	0.17990211706339246	-0.12841151565995138	0.9018915828068212	0.9906913568675062	0.080323365890558	-0.01866720256942811	0.09458389401817999	-0.2719707944951263	0.23463638935627007	-0.19736132417893562	0.8523174928332469	0.9778892202407429	0.11532259230319708	-0.09960824329919937	0.1203307461572884	-0.41066845997415014	0.2114519733757514	-0.827787132384254	0.44615527128682964	0.7711769837645075	0.1516666361785407
psvid_82741_sp|O15321|TM9S1_HUMAN	O15321	TM9S1_HUMAN	-0.018441893553993616	0.14492324233088782	-0.37037888352900983	0.3334950964210226	-0.1272528357589958	0.9027712801076946	0.9909939085519538	0.2606105691697426	-0.75003213361087	0.4122821301472755	-1.8541582169904574	0.35409394976871744	-1.8192205743745027	0.13635280276183212	0.7067636245123187	0.6974657725878416	-0.8304820237218404	0.39018670003955896	-1.8391316277003642	0.17816758025668333	-2.1284221723540098	0.0876058678365597	0.5204027816531388	0.688353055862838
psvid_51782_sp|P50148|GNAQ_HUMAN	P50148	GNAQ_HUMAN	-0.011541589426644627	0.09187708011149096	-0.2346593067925356	0.21157612793924635	-0.1256198979401516	0.9040113000881149	0.9916913258491695	0.12667416305435922	-0.6017800618559752	0.39501178055101305	-1.6596547021970158	0.4560945784850654	-1.5234483918847566	0.19581807690658656	0.7232919957810855	0.6674516440781711	-0.6842413985415514	0.3924428377473419	-1.698723216701762	0.33024041961865924	-1.743544110701982	0.14278658312980108	0.5556992839403372	0.692537425899372
psvid_97380_sp|P62888|RL30_HUMAN	P62888	RL30_HUMAN	0.008436183245577489	0.06777322344139879	-0.1561468323925324	0.1730191988836874	0.12447664161749619	0.9048796414567247	0.9919803556076394	0.012466895474474084	-0.03720012616543267	0.07322492250921067	-0.2333026030469494	0.15890235071608408	-0.5080254767187143	0.6358168984407753	0.9190364020538448	0.05260892294514638	-0.20464483992996474	0.11586574955939681	-0.5041628460432224	0.09487316618329283	-1.7662237607590556	0.1387052120427237	0.5556992839403372	0.13982715264844275
psvid_37590_sp|Q08170|SRSF4_HUMAN	Q08170	SRSF4_HUMAN	-0.020963839420184982	0.17047315979237043	-0.4349471989138593	0.39301952007348934	-0.12297442861807753	0.9060208398724164	0.9920566478065955	0.3181107865761164	0.387068573718524	0.12935093021328856	0.04065594626148006	0.7334812011755679	2.9923911106033887	0.03558420260090754	0.6392260310717692	0.1901992360169008	0.305598105334112	0.13093548852068976	-0.03287583196241445	0.6440720426306386	2.3339593320860677	0.06784438304774644	0.512092475541875	0.17810803565545877
psvid_59309_sp|Q96CS3|FAF2_HUMAN	Q96CS3	FAF2_HUMAN	-0.010804119307341153	0.08798679787752817	-0.2244745306541731	0.2028662920394908	-0.12279250487533115	0.9061590600087074	0.9920566478065955	0.11470342641945469	-0.14696263791457742	0.21367142848001763	-0.7191926236612021	0.4252673478320472	-0.6877973295728738	0.5260793183169594	0.8667313206910913	0.3480850748822849	-0.2289643792603182	0.23128317503512302	-0.8268414542155154	0.36891269569487894	-0.9899742133233311	0.36844343985961764	0.7124524044277046	0.38815889718525554
psvid_58601_sp|P29966|MARCS_HUMAN	P29966	MARCS_HUMAN	-0.013786485587453434	0.11309469862145059	-0.2884298566216785	0.26085688544677166	-0.12190213825671366	0.9068355850360856	0.992134996303656	0.18440552588319428	-0.10753121219983308	0.30238395066420404	-0.9173407642278313	0.7022783398281651	-0.35561150637669253	0.7385071693354022	0.9568385344346946	0.5056493482468788	-0.18660648085381837	0.3153444380472127	-1.0017855797849289	0.6285726180772923	-0.5917544701577392	0.5802141632091394	0.8354268899587258	0.5486667188278127
psvid_151851_sp|P56378|ATP68_HUMAN	P56378	ATP68_HUMAN	0.017882642589608366	0.15419597406259458	-0.35657259388621193	0.39233787906542866	0.1159734727078481	0.9113424883088789	0.9942939585191921	0.2817295537882544	-0.6394767378335229	0.4844028525218455	-1.936748157629935	0.6577946819628893	-1.3201341290711823	0.25118198265975467	0.7489790028399956	0.8224831218371484	-0.7192858130536166	0.44550225532751925	-1.8709285352737326	0.4323569091664994	-1.6145503293239678	0.16841267435568164	0.5742338475183212	0.7906340700939253
psvid_55431_sp|Q13740|CD166_HUMAN	Q13740	CD166_HUMAN	-0.014476092804534879	0.12549665825510786	-0.3192368437224885	0.29028465811341875	-0.1153504245117673	0.9118163341086896	0.9942939585191921	0.2149987383233936	-0.13642343916705935	0.23151746761509076	-0.756446612765431	0.4835997344313123	-0.5892576511499774	0.5845793066945242	0.8948438526472344	0.38014177290328	-0.21861727947903542	0.23890735242365713	-0.8362031848552267	0.39896862589715587	-0.9150713749962743	0.4028687665172759	0.7448757351615923	0.40298673790077827
psvid_73598_sp|P06756|ITAV_HUMAN	P06756	ITAV_HUMAN	-0.009741662317671818	0.08486565575256486	-0.21583257608304715	0.19634925144770352	-0.11478921869259698	0.9122431808226429	0.9942939585191921	0.10454208258378901	-0.7260417403792725	0.11530085059798593	-1.0348270775841926	-0.4172564031743525	-6.2969330808384765	0.002331270211826038	0.5727769937574851	0.16147950571542316	-0.8055981053341119	0.102192531318507	-1.0697702471152761	-0.5414259635529477	-7.883140724083606	0.0005746104077282449	0.31412035622477386	0.09896845994796119
