trend	scope	x_quantity	y_quantity	x	fitted	local_slope
pooled_psm	pooled_cells_all_common	lfq	log2_psm	31.2351	8.74377	0.835579
pooled_psm	pooled_cells_all_common	lfq	log2_psm	31.3176	8.81272	0.837088
pooled_psm	pooled_cells_all_common	lfq	log2_psm	31.4	8.88181	0.838517
pooled_psm	pooled_cells_all_common	lfq	log2_psm	31.4825	8.951	0.839842
pooled_psm	pooled_cells_all_common	lfq	log2_psm	31.5649	9.0203	0.841273
pooled_psm	pooled_cells_all_common	lfq	log2_psm	31.6474	9.08973	0.842784
pooled_psm	pooled_cells_all_common	lfq	log2_psm	31.7298	9.15928	0.844002
pooled_psm	pooled_cells_all_common	lfq	log2_psm	31.8123	9.22891	0.845355
pooled_psm	pooled_cells_all_common	lfq	log2_psm	31.8947	9.29868	0.846612
pooled_psm	pooled_cells_all_common	lfq	log2_psm	31.9772	9.36852	0.848082
pooled_psm	pooled_cells_all_common	lfq	log2_psm	32.0596	9.43853	0.849196
pooled_psm	pooled_cells_all_common	lfq	log2_psm	32.1421	9.50855	0.849196
pooled_psm	pooled_cells_all_common	lfq	log2_psm	32.2246	9.57857	0.85021
pooled_psm	pooled_cells_all_common	lfq	log2_psm	32.307	9.64876	0.851225
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	15.899	-17.2322	0.374961
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	15.9815	-17.2012	0.374961
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	16.0639	-17.1703	0.374961
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	16.1464	-17.1394	0.374543
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	16.2288	-17.1086	0.373722
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	16.3113	-17.0778	0.373047
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	16.3937	-17.047	0.372296
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	16.4762	-17.0164	0.3716
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	16.5586	-16.9858	0.371385
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	16.6411	-16.9551	0.371281
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	16.7236	-16.9245	0.370766
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	16.806	-16.894	0.37015
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	16.8885	-16.8635	0.369766
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	16.9709	-16.833	0.369456
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	17.0534	-16.8026	0.369183
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	17.1358	-16.7721	0.369
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	17.2183	-16.7417	0.368881
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	17.3007	-16.7113	0.368779
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	17.3832	-16.6809	0.36878
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	17.4656	-16.6505	0.368851
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	17.5481	-16.6201	0.368998
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	17.6305	-16.5896	0.369217
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	17.713	-16.5592	0.3695
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	17.7954	-16.5287	0.369869
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	17.8779	-16.4982	0.370322
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	17.9603	-16.4676	0.370853
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	18.0428	-16.437	0.37147
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	18.1252	-16.4064	0.37212
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	18.2077	-16.3757	0.372798
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	18.2901	-16.3449	0.373509
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	18.3726	-16.3141	0.37418
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	18.455	-16.2832	0.37474
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	18.5375	-16.2523	0.375117
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	18.62	-16.2214	0.375269
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	18.7024	-16.1904	0.375152
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	18.7849	-16.1595	0.374722
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	18.8673	-16.1286	0.373922
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	18.9498	-16.0978	0.372766
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	19.0322	-16.0671	0.371301
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	19.1147	-16.0366	0.369739
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	19.1971	-16.0062	0.368275
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	19.2796	-15.9759	0.366839
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	19.362	-15.9457	0.365387
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	19.4445	-15.9156	0.363774
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	19.5269	-15.8857	0.361874
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	19.6094	-15.8559	0.359986
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	19.6918	-15.8263	0.358413
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	19.7743	-15.7968	0.357224
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	19.8567	-15.7674	0.356568
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	19.9392	-15.738	0.356696
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	20.0216	-15.7086	0.358428
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	20.1041	-15.6789	0.362235
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	20.1865	-15.6489	0.368775
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	20.269	-15.6181	0.376656
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	20.3514	-15.5868	0.384
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	20.4339	-15.5548	0.391095
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	20.5163	-15.5223	0.39899
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	20.5988	-15.489	0.407786
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	20.6813	-15.455	0.41587
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	20.7637	-15.4204	0.422624
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	20.8462	-15.3853	0.429157
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	20.9286	-15.3496	0.436009
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	21.0111	-15.3134	0.442967
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	21.0935	-15.2766	0.44847
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	21.176	-15.2395	0.452953
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	21.2584	-15.2019	0.45794
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	21.3409	-15.164	0.469154
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	21.4233	-15.1245	0.48832
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	21.5058	-15.0834	0.513954
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	21.5882	-15.0398	0.543809
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	21.6707	-14.9938	0.567244
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	21.7531	-14.9462	0.585767
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	21.8356	-14.8972	0.602319
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	21.918	-14.8469	0.619889
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	22.0005	-14.7949	0.641308
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	22.0829	-14.7412	0.667957
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	22.1654	-14.6848	0.696982
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	22.2478	-14.6262	0.732496
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	22.3303	-14.564	0.774964
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	22.4127	-14.4984	0.811063
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	22.4952	-14.4302	0.838446
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	22.5777	-14.3602	0.857346
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	22.6601	-14.2889	0.868124
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	22.7426	-14.217	0.872002
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	22.825	-14.1451	0.872915
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	22.9075	-14.0731	0.874374
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	22.9899	-14.0009	0.877948
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	23.0724	-13.9283	0.887775
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	23.1548	-13.8545	0.906963
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	23.2373	-13.7787	0.928812
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	23.3197	-13.7013	0.943482
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	23.4022	-13.6231	0.948373
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	23.4846	-13.5449	0.947133
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	23.5671	-13.467	0.940359
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	23.6495	-13.3899	0.928278
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	23.732	-13.3139	0.91477
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	23.8144	-13.239	0.900511
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	23.8969	-13.1654	0.884475
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	23.9793	-13.0932	0.867556
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	24.0618	-13.0223	0.849658
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	24.1442	-12.953	0.828453
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	24.2267	-12.8857	0.804244
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	24.3091	-12.8204	0.784246
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	24.3916	-12.7564	0.770587
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	24.4741	-12.6933	0.762496
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	24.5565	-12.6306	0.759394
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	24.639	-12.5681	0.758236
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	24.7214	-12.5056	0.75825
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	24.8039	-12.4431	0.759529
pooled_nsaf	pooled_cells_all_common	lfq	log2_nsaf	24.8863	-12.3804	0.76328
