protein_group	accession	entry	n_base_sequences	AZ905_oxidation_index	AZ907_oxidation_index	AZ909_oxidation_index	AZ906_oxidation_index	AZ908_oxidation_index	AZ910_oxidation_index	AZ941_oxidation_index	AZ942_oxidation_index	log2_ratio_P905_906	log2_ratio_P907_908	log2_ratio_P909_910	log2_ratio_P941_942	mean_log2_ratio	ci_low	ci_high	t	p	q
psvid_50981_sp|Q15041|AR6P1_HUMAN	Q15041	AR6P1_HUMAN	1	0.01789689288819627	0.1257478298642536	0.16333995603641915	0.04876546927364071	0.12133200909731433	0.1669823348400356	0.05054163922489663	0.05699783237329068	1.4461507996299494	-0.05157329845211464	0.03181774270021644	0.1734345984542871	0.39995746058308457	-0.34960662795055797	1.1495215491167272	1.3867963327800321	0.22616289619270197	0.6841978565565021
psvid_87928_sp|Q7Z5P4|DHB13_HUMAN	Q7Z5P4	DHB13_HUMAN	1	0.02974325376509752	0.033148947880146155	0.005897279390652218	0.025191543607104166	0.04967608291405775	0.05383212892334047	0.03096830983039678	0.028951081815846526	-0.23962295408898707	0.5835883367249411	3.190346031101578	-0.09717538818171703	0.8592840063889537	-0.7880160058834405	2.506584018661348	1.3557252366965338	0.2351930131912976	0.6841978565565021
psvid_23937_sp|Q9NZ01|TECR_HUMAN	Q9NZ01	TECR_HUMAN	1	0.08295883373994421	0.14155982678346257	0.2580680053118342	0.08095162834205913	0.1537386683247417	0.2594752369534675	0.09325789214443025	0.12996231447767206	-0.03533551182459536	0.11906817553626702	0.007845570952506223	0.4787956149934654	0.14259346241441082	-0.17227186290504096	0.4574587877338626	1.1770161769210923	0.29397679712827995	0.7049587103322026
psvid_56092_sp|P40939|ECHA_HUMAN	P40939	ECHA_HUMAN	3	0.13469316359264247	0.11732151493415666	0.23286507218783645	0.13627830781242178	0.08564455288291413	0.212703912761704	0.12048097677499399	0.12212344245349505	0.016879310430334804	-0.45403420852021903	-0.13064769117766573	0.019534790839781765	-0.13706694960694207	-0.44367038612413023	0.16953648691024606	-1.1618856372403288	0.29952043639235104	0.7049587103322026
psvid_24407_sp|CATD_HUMAN|		CATD_HUMAN	1	0.08735742958827712	0.11695412100253294	0.19805589702486573	0.0513392288430622	0.07819798870582251	0.08398793174917779	0.08422622432136212	0.15521817517304795	-0.7668687812883336	-0.5807392912434888	-1.237653710857268	0.8819560990895292	-0.4258264210748903	-1.3852241872415476	0.533571345091767	-1.1535636304838592	0.30260897371851736	0.7049587103322026
psvid_56562_sp|P11021|BIP_HUMAN	P11021	BIP_HUMAN	1	0.012562680777974154	0.01139131213989127	0.01639780166787767	0.012849977636804474	0.014057375658683176	0.015009529328844494	0.021647737922318715	0.027223093763981025	0.03262149171939653	0.3033933484560857	-0.12762367892895002	0.33061475240870547	0.1347514784138094	-0.17033015865352263	0.43983311548114146	1.147955687900015	0.3047061302956903	0.7049587103322026
psvid_78505_sp|P27797|CALR_HUMAN	P27797	CALR_HUMAN	2	0.03418124709952063	0.0332804605325305	0.04109302918363822	0.04189895915458851	0.031377761811706824	0.03815580207700971	0.05634767779556464	0.08579330054351822	0.2937093706689099	-0.08493294956141052	-0.10699122912885203	0.6065088392875803	0.1770735078165569	-0.2273199698865329	0.5814669855196467	1.13803888632969	0.30844609414923074	0.7049587103322026
psvid_46419_sp|P27824|CALX_HUMAN	P27824	CALX_HUMAN	1	0.0185371058584186	0.019301485523651987	0.026272878206046187	0.02046947755769668	0.025229317022229386	0.028323551098768905	0.03562723782692413	0.03261089524760705	0.14305826295247143	0.38638926427976494	0.10842789931744254	-0.12762658884746264	0.12756220942555407	-0.1697591882552446	0.42488360710635276	1.1150735665476086	0.31726254941338117	0.7049587103322026
psvid_381874_sp|O75396|SC22B_HUMAN	O75396	SC22B_HUMAN	1	0.04326080034443534	0.03712684103651628	0.04333136459493429	0.0321346977202055	0.03195471226211625	0.048288670096408706	0.05247582707230948	0.05011502902038851	-0.4289284545459081	-0.2164338710734018	0.15627306043461722	-0.06640968121140654	-0.13887473659902483	-0.4641887501128014	0.18643927691475176	-1.1095021040696031	0.3194344156192793	0.7049587103322026
psvid_110282_sp|P00403|COX2_HUMAN	P00403	COX2_HUMAN	1	0.02104819215732304	0.029323350586134615	0.02787369669134421	0.029730846645018027	0.025792433282417936	0.1775581494581081	0.011387415157969885	0.007479938227557872	0.49826422282880883	-0.18510207539559767	2.6713153231479967	-0.606342044357299	0.5945338565559772	-0.9129547636115776	2.102022476723532	1.0250149564978601	0.35397755089522914	0.7551521085764888
